reference,kind,occurrences,diagnosis,files
fyDate.HS_FY,column,2,"COLUMN NOT IN DELIVERED METADATA — table 'emr|reports|FY_DATE_DIMENSION' is delivered but carries no such column: dictionary metadata incomplete, OR the SQL drifted from the source (a report that may be failing silently)",reporting/USP_IP_SepsisDates.sql
SSS.ENCOUNTER_ID,column,2,"COLUMN NOT IN DELIVERED METADATA — table 'emr|reports|SEVERE_SEPSIS_STAGING' is delivered but carries no such column: dictionary metadata incomplete, OR the SQL drifted from the source (a report that may be failing silently)",reports/USP_RPTS_IP_SEPSIS.sql; reports/USP_RPTS_IP_SEPSIS_REPORT.sql
SEVERE.DATE_STAMP,column,1,"COLUMN NOT IN DELIVERED METADATA — table 'emr|reports|SEVERE_SEPSIS_STAGING' is delivered but carries no such column: dictionary metadata incomplete, OR the SQL drifted from the source (a report that may be failing silently)",reporting/USP_ED_SEPSIS.sql
SEVERE.ENCOUNTER_ID,column,1,"COLUMN NOT IN DELIVERED METADATA — table 'emr|reports|SEVERE_SEPSIS_STAGING' is delivered but carries no such column: dictionary metadata incomplete, OR the SQL drifted from the source (a report that may be failing silently)",reporting/USP_ED_SEPSIS.sql
NONSEVERE.DATE_STAMP,column,1,"COLUMN NOT IN DELIVERED METADATA — table 'emr|reports|NON_SEVERE_SEPSIS_STAGING' is delivered but carries no such column: dictionary metadata incomplete, OR the SQL drifted from the source (a report that may be failing silently)",reporting/USP_ED_SEPSIS.sql
NONSEVERE.ENCOUNTER_ID,column,1,"COLUMN NOT IN DELIVERED METADATA — table 'emr|reports|NON_SEVERE_SEPSIS_STAGING' is delivered but carries no such column: dictionary metadata incomplete, OR the SQL drifted from the source (a report that may be failing silently)",reporting/USP_ED_SEPSIS.sql
fyDate.HS_FY_MONTH_NUMBER,column,1,"COLUMN NOT IN DELIVERED METADATA — table 'emr|reports|FY_DATE_DIMENSION' is delivered but carries no such column: dictionary metadata incomplete, OR the SQL drifted from the source (a report that may be failing silently)",reporting/USP_IP_SepsisDates.sql
