sourceId,targetId
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|ORDER_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|ORIGINAL_EVENT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|ORIG_EFF_TIME
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|ORIG_EVENT_TIME
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|OUT_EVENT_TYPE_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PATIENT_CLASS_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PATIENT_ENC_DATE_REAL
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PATIENT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PATIENT_LVL_OF_CARE_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PATIENT_SERVICE_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PREV_EVENT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PREV_UPD_EFF_TIME
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|PREV_UPD_EVNT_TIME
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|REASON_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|REVIEW_DTTM
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|REVIEW_USER_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|ROOM_ENC_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|ROOM_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SEQ_NUM_IN_BED_MIN
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SEQ_NUM_IN_ENC
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SOURCE_LOC_EVNT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_FINANCIAL_CLASS_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_FROM_FIN_CLASS_CODE
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_FROM_PAYER_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_FROM_PLAN_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_HOSP_ACCOUNT_ID
emr|dbo|ADT_EVENTS,emr|dbo|ADT_EVENTS|SPLIT_ACCT_IN_FIN_CL_EV_TYP_CODE
